Phylum ,Abundance,Station ,Type 
Alphaproteobacteria,11.34795432,1,Surface_FL
Betaproteobacteria,2.116706353,1,Surface_FL
Gammaproteobacteria,11.78293105,1,Surface_FL
Deltaproteobacteria,11.78293105,1,Surface_FL
Actinobacteria,4.989041021,1,Surface_FL
Bacteroidetes,26.52681568,1,Surface_FL
Chlamydiae,2.134294837,1,Surface_FL
Chloroflexi,0.021647364,1,Surface_FL
Cyanobacteria,15.20118519,1,Surface_FL
Deferribacteres,0,1,Surface_FL
Lentisphaerae,0.276003896,1,Surface_FL
Plantomycetes,5.71287477,1,Surface_FL
Verrucomicrobia,7.130777141,1,Surface_FL
Unclassified_Bacteria,0.882130101,1,Surface_FL
Alphaproteobacteria,46.29466853,2,Surface_FL
Betaproteobacteria,1.37995757,2,Surface_FL
Gammaproteobacteria,12.14534496,2,Surface_FL
Deltaproteobacteria,12.14534496,2,Surface_FL
Actinobacteria,4.114758541,2,Surface_FL
Bacteroidetes,10.11704525,2,Surface_FL
Chlamydiae,0,2,Surface_FL
Chloroflexi,0,2,Surface_FL
Cyanobacteria,10.52349827,2,Surface_FL
Deferribacteres,0.112352868,2,Surface_FL
Lentisphaerae,0,2,Surface_FL
Plantomycetes,0.091204092,2,Surface_FL
Verrucomicrobia,3.001804255,2,Surface_FL
Unclassified_Bacteria,0.029079566,2,Surface_FL
Alphaproteobacteria,44.27350311,3,Surface_FL
Betaproteobacteria,1.006262087,3,Surface_FL
Gammaproteobacteria,9.888148019,3,Surface_FL
Deltaproteobacteria,9.888148019,3,Surface_FL
Actinobacteria,11.98926113,3,Surface_FL
Bacteroidetes,12.45993211,3,Surface_FL
Chlamydiae,0,3,Surface_FL
Chloroflexi,0,3,Surface_FL
Cyanobacteria,6.646198791,3,Surface_FL
Deferribacteres,0.479462245,3,Surface_FL
Lentisphaerae,0,3,Surface_FL
Plantomycetes,0.674222649,3,Surface_FL
Verrucomicrobia,2.642114232,3,Surface_FL
Unclassified_Bacteria,0.020287542,3,Surface_FL
Alphaproteobacteria,35.42335143,4,Surface_FL
Betaproteobacteria,0.914172704,4,Surface_FL
Gammaproteobacteria,10.96536368,4,Surface_FL
Deltaproteobacteria,10.96536368,4,Surface_FL
Actinobacteria,7.389394521,4,Surface_FL
Bacteroidetes,22.25226862,4,Surface_FL
Chlamydiae,0.002018041,4,Surface_FL
Chloroflexi,0,4,Surface_FL
Cyanobacteria,6.429479547,4,Surface_FL
Deferribacteres,0.024889176,4,Surface_FL
Lentisphaerae,0.004036082,4,Surface_FL
Plantomycetes,0.357865989,4,Surface_FL
Verrucomicrobia,5.187038794,4,Surface_FL
Unclassified_Bacteria,0.055832476,4,Surface_FL
Alphaproteobacteria,48.46872637,5,Surface_FL
Betaproteobacteria,1.134276763,5,Surface_FL
Gammaproteobacteria,10.79723453,5,Surface_FL
Deltaproteobacteria,10.79723453,5,Surface_FL
Actinobacteria,5.454655936,5,Surface_FL
Bacteroidetes,14.73412012,5,Surface_FL
Chlamydiae,0.004050988,5,Surface_FL
Chloroflexi,0,5,Surface_FL
Cyanobacteria,4.534406395,5,Surface_FL
Deferribacteres,0.056713838,5,Surface_FL
Lentisphaerae,0.000675164,5,Surface_FL
Plantomycetes,0.494895755,5,Surface_FL
Verrucomicrobia,3.353543264,5,Surface_FL
Unclassified_Bacteria,0.114102841,5,Surface_FL
Alphaproteobacteria,33.54242957,6,Surface_FL
Betaproteobacteria,0.863265603,6,Surface_FL
Gammaproteobacteria,12.1881734,6,Surface_FL
Deltaproteobacteria,12.1881734,6,Surface_FL
Actinobacteria,3.901881205,6,Surface_FL
Bacteroidetes,28.79380775,6,Surface_FL
Chlamydiae,0,6,Surface_FL
Chloroflexi,0,6,Surface_FL
Cyanobacteria,5.254947582,6,Surface_FL
Deferribacteres,0.011897995,6,Surface_FL
Lentisphaerae,0.000660999,6,Surface_FL
Plantomycetes,0.159300927,6,Surface_FL
Verrucomicrobia,3.059767592,6,Surface_FL
Unclassified_Bacteria,0.017846991,6,Surface_FL
Alphaproteobacteria,26.71303437,7,Surface_FL
Betaproteobacteria,0.969851506,7,Surface_FL
Gammaproteobacteria,25.52633227,7,Surface_FL
Deltaproteobacteria,25.52633227,7,Surface_FL
Actinobacteria,1.681303609,7,Surface_FL
Bacteroidetes,13.19772107,7,Surface_FL
Chlamydiae,0.035288024,7,Surface_FL
Chloroflexi,0.041548803,7,Surface_FL
Cyanobacteria,0.05748533,7,Surface_FL
Deferribacteres,0.208882337,7,Surface_FL
Lentisphaerae,0.019351497,7,Surface_FL
Plantomycetes,0.857157493,7,Surface_FL
Verrucomicrobia,4.963089866,7,Surface_FL
Unclassified_Bacteria,0.07456018,7,Surface_FL
Alphaproteobacteria,34.97871063,8,Surface_FL
Betaproteobacteria,1.574185272,8,Surface_FL
Gammaproteobacteria,10.36969812,8,Surface_FL
Deltaproteobacteria,10.36969812,8,Surface_FL
Actinobacteria,5.627354113,8,Surface_FL
Bacteroidetes,23.32141493,8,Surface_FL
Chlamydiae,0.012964681,8,Surface_FL
Chloroflexi,0,8,Surface_FL
