Phylum,DM10,DM11,DM12,DM13,DM14,DM15,DM16,DM17,DM18,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DS10,DS11,DS12,DS13,DS14,DS15,DS16,DS17,DS18,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,
Acidobacteria,0,0,0,0,0.002998726,0,0.004498088,0.02174076,0.000749681,0.037484069,0,0,0,0,0.006747132,0,0,0,0,0,0,0,0.00524777,0,0,0,0.046480246,0.020241397,0,0,0,0,0,0,0,0,0.146187869
Actinobacteria,4.504085764,2.26178874,1.689032161,1.993402804,1.755753805,1.521853212,2.139590674,2.009146113,2.595396956,4.280680711,2.19131869,1.870455057,2.157583027,1.856960792,2.411725017,2.069120624,2.084863933,3.522003149,1.369667891,1.988904715,1.278206762,3.530249644,2.791813479,4.243196641,2.679361271,3.516005698,4.088012595,5.528900217,4.667516306,13.29110128,8.235250019,6.056675913,4.425369218,2.214558813,6.182622385,8.548616838,127.5507909
BD1-5,0.001499363,0.017242672,0.007496814,0.035984706,0.002998726,0.080215908,0.036734388,0.009745858,0.025489167,0.050978334,0.00524777,0.002998726,0.001499363,0.014993628,0.083964315,0.003748407,0.017992353,0.051728016,0,0,0,0,0.011994902,0,0,0.024739486,0.005997451,0,0,0,0.001499363,0.000749681,0,0.005997451,0.002249044,0,0.503785892
Unclassified_Bacteria,0.078716545,1.610315616,0.801409401,1.621560837,2.052627633,0.354599295,1.513606717,0.766174376,0.477547043,0.613239373,0.030736937,0.121448384,0.040482795,0.144688507,0.981332934,0.419821576,0.083214634,0.212159832,0.018742035,0.575755304,0.727940625,0.314866182,4.087262913,6.851338181,0.218906965,2.644126246,2.173326336,0.977584527,0.032985981,0.022490442,0.062223555,0.126696154,0.020241397,0.098208261,0.079466227,0.033735662,30.98957943
Bacteroidetes,10.44081265,18.22625384,32.57290651,21.32243796,19.26381288,12.54816703,12.84429118,16.09640903,12.46270335,16.63018217,21.48137042,20.61398905,17.72696604,20.65597121,17.05525152,31.36966789,13.12092361,17.28765275,13.94332409,37.82667366,31.08029088,29.25556638,40.38008846,19.65139816,26.31606567,38.94519829,25.00712197,29.39725617,11.47612265,13.81287953,24.79946023,16.36029687,32.65687083,17.38361196,25.62261039,23.64944898,789.2840543
Candidate_division_BRC1,0.003748407,0.003748407,0.000749681,0.000749681,0.053227378,0.082464952,0.209161107,0.107204438,0.109453482,0.152185321,0.000749681,0,0.002998726,0.006747132,0.02174076,0.004498088,0,0.003748407,0,0,0,0,0,0,0,0.047979609,0,0,0,0,0,0,0,0.004498088,0,0,0.815653345
Candidate_division_OD1,0,0.024739486,0.063722918,0.049478971,0.040482795,0,0.065222281,0.014243946,0.014993628,0.013494265,0.009745858,0.005997451,0,0.006747132,0.098208261,0.023989804,0.008996177,0.05397706,0,0,0.002998726,0,0,0,0,0.04872929,0.050228653,0,0,0,0,0.000749681,0,0.009745858,0.002998726,0.00524777,0.614738737
Candidate_division_TM7,0,0.622985231,0.347102481,0.612489692,0.068970687,0,0.002998726,0.010495539,0.128945198,0.230901867,0.005997451,0.014243946,0,0,0.001499363,0,0.001499363,0.00524777,0,0.003748407,0.008246495,0.125196791,0.017242672,0.143938826,0,0.006747132,0.161181498,0.5195292,0,0.010495539,0,0.003748407,0,0,0.004498088,0.011245221,3.06919559
Chlamydiae,0.004498088,0.158932454,0.137941375,0.143189145,0.456555964,0.431816478,0.278881475,0.629732364,0.835145063,0.366594197,0,0.001499363,0.029237574,0.071219732,0.128195517,0.014243946,0.069720369,0.089212085,0,0.001499363,0.004498088,0.058475148,0.11919934,0.166429268,0.02174076,0.030736937,1.324687008,2.365244771,0,0,0.002249044,0.004498088,0,0.046480246,0.014243946,0.014993628,8.021590824
Chloroflexi,1.213734163,0.024739486,0,0.019491716,0.007496814,0.017992353,0.095209536,0.064472599,0.020241397,0.111702526,0.017242672,0.085463678,0.031486618,0.104205713,0.922857785,0.035235025,0.09745858,0.275133068,0.002998726,0,0,0,0.006747132,0,0,0.065971962,0.079466227,0.023989804,0,0,0,0,0,0.054726741,0,0,3.378064321
Cyanobacteria,0.131194242,3.538496139,2.836044681,3.937326636,5.77404603,1.401904191,0.920608741,0.329110128,3.276107654,3.949321538,0.194167479,0.533773146,0.301371917,0.22715346,0.309618412,0.155933728,0.396581453,0.729439988,12.32701102,9.020916111,12.9522453,11.27070995,9.574180973,16.3550491,13.01147013,6.286078417,15.99595172,16.84609041,11.9371767,7.367868656,7.165454682,5.034860184,5.959967014,0.07571782,8.331209236,6.6774121,205.1315691
Deferribacteres,0.794662269,0.014243946,0.002249044,0.041232476,0.007496814,0.002998726,0.139440738,0.018742035,0.018742035,0.032985981,0.062973236,0.335107579,0.260139441,0.515780793,3.611215234,0.119949022,0.263887848,0.716695404,0.007496814,0.003748407,0.074218457,0.056226104,0.006747132,0,0,0.062223555,0.003748407,0,0.127445836,0.531524102,0.027738211,0.062973236,0.013494265,0.275133068,0.064472599,0.030736937,8.306469751
Firmicutes,0.018742035,0.15143564,0.177674488,0.158932454,0.098957943,0.09745858,0.160431816,0.101956668,0.289377015,0.100457306,0.018742035,0.029237574,0.002249044,0.011994902,0.007496814,0.010495539,0.039733113,0.003748407,0.000749681,0.094459855,0.027738211,0.041982158,0.041232476,0.163430542,0.080215908,0.163430542,0.1409401,0.055476423,0,0.001499363,0,0.006747132,0,0.001499363,0,0,2.298523127
Fusobacteria,0,0,0.008996177,0.00524777,0,0,0.056226104,0.036734388,0.006747132,0.065971962,0,0.000749681,0,0,0.00524777,0.006747132,0,0.001499363,0.001499363,0.065971962,0.000749681,0,0.006747132,0,0,0.094459855,0.047229927,0.086963041,0,0,0.000749681,0,0,0.002998726,0.012744584,0.006747132,0.521028563
Gemmatimonadetes,0.074968139,0.020991079,0.000749681,0.015743309,0.007496814,0.061473874,0.144688507,0.046480246,0.101956668,0.219656646,0,0.007496814,0,0.011245221,0.047229927,0,0.00524777,0.025489167,0,0,0.000749681,0,0.004498088,0,0,0.008996177,0.007496814,0,0,0,0,0,0,0.003748407,0,0,0.816403029
Lentisphaerae,0.066721643,0.952845041,2.667366369,0.740685209,1.03381063,1.027063498,1.371916935,0.824649524,1.34717745,1.066796611,0.059224829,0.012744584,0.015743309,0.094459855,0.226403778,0.000749681,0.127445836,0.188170028,0.000749681,0,0.004498088,0.000749681,0.345603119,0.106454757,0.020241397,0.104955394,0.469300547,0.305870005,0,0,0.004498088,0.000749681,0.000749681,0.025489167,0.006747132,0,13.22063123
Planctomycetes,5.484669016,18.60934103,4.61578829,15.09183597,14.04153235,24.22595397,35.56638429,24.21171002,25.7672989,23.10293125,0.245895494,1.182247545,0.979083889,1.638053827,4.009296049,0.339605668,3.477771947,5.406702152,0.015743309,0.249643901,14.06177375,31.7640003,5.974960642,8.015593373,15.03261114,4.650273634,8.958692556,6.3310593,0.103456031,0.747432341,0.398830497,0.549516456,0.180673214,1.129020166,0.637978859,0.566009446,307.3633706
Proteobacteria,70.96783867,46.56570957,46.31156758,45.70882375,43.33758153,44.11500112,34.82944748,44.10675463,40.85838519,39.13486768,64.61578829,69.00292376,72.89526951,62.91251218,63.72216808,63.01072044,70.21965665,61.59007422,70.63048205,39.53819627,24.38488642,16.08591349,20.14318914,36.77262164,20.75492916,36.21111028,30.80215908,29.60866632,68.25024365,61.28570358,53.51300697,68.06057426,53.24312167,72.13134418,53.08343954,56.86333308,1795.268011
TM6,0,0,0.000749681,0,0.019491716,0.030736937,0.011245221,0.003748407,0,0.013494265,0,0,0,0,0,0.002249044,0,0,0,0,0,0,0.117699978,0,0.020241397,0.058475148,0.011994902,0,0,0,0.008246495,0.007496814,0.029237574,0,0.004498088,0,0.339605667
Tenericutes,0,0,0.002249044,0.00524777,0,0,0.008246495,0.002998726,0.007496814,0.011994902,0.002249044,0,0,0.001499363,0.002249044,0,0,0,0,0,0.040482795,0.000749681,0,0.009745858,0,0,0.009745858,0,0,0,0,0,0,0,0,0.000749681,0.105705075
Verrucomicrobia,6.214109004,7.195441937,7.756203613,8.48489392,11.94767224,13.96731389,9.559937027,10.58025339,11.63730415,9.782592398,11.05855012,6.17962366,5.553639703,11.72576655,6.342304521,2.411725017,9.984256691,9.837319139,1.681535347,10.63048205,15.35047605,7.495314491,16.36554464,7.520803658,21.84421621,6.99677637,10.5720069,7.902391484,3.405052853,2.929005173,5.780793163,3.723667441,3.470275133,6.537221681,5.948721793,3.591723518,301.9649149
Other,0,0.000749681,0,0.01124522,0.02698853,0.032985981,0.041232476,0.007496814,0.018742035,0.031486617,0,0,0.002249044,0,0.00524777,0.001499363,0.000749681,0,0,0,0,0,0,0,0,0.032985981,0.044231202,0.030736937,0,0,0,0,0,0,0.001499363,0,
