Class,Abundance ,Type
Acidimicrobiia,5.29,Surface_FL
Actinobacteria,0.83,Surface_FL
Alphaproteobacteria,45.02,Surface_FL
Betaproteobacteria,1.4,Surface_FL
Gammaproteobacteria,14.68,Surface_FL
Deltaproteobacteria,0.61,Surface_FL
Cytophagia,0.51,Surface_FL
Flavobacteriia,18.58,Surface_FL
Sphingobacteriia,0.46,Surface_FL
Bacteroidetes_unclassified,0.44,Surface_FL
Opitutae,0.7,Surface_FL
Verrucomicrobiae,3.42,Surface_FL
OM190,0.02,Surface_FL
Phycisphaerae,0.06,Surface_FL
Planctomycetacia,0.39,Surface_FL
Cyanobacteria,7.19,Surface_FL
Deferribacteres,0.13,Surface_FL
Chlamydiae,0,Surface_FL
Bacteria_unclassified,0.06,Surface_FL
Acidimicrobiia,2.09,Surface_PA
Actinobacteria,1.19,Surface_PA
Alphaproteobacteria,14.61,Surface_PA
Betaproteobacteria,0.91,Surface_PA
Gammaproteobacteria,10.22,Surface_PA
Deltaproteobacteria,2.39,Surface_PA
Cytophagia,0.26,Surface_PA
Flavobacteriia,25.43,Surface_PA
Sphingobacteriia,1.36,Surface_PA
Bacteroidetes_unclassified,3.9,Surface_PA
Opitutae,1.94,Surface_PA
Verrucomicrobiae,9.63,Surface_PA
OM190,3.22,Surface_PA
Phycisphaerae,0.89,Surface_PA
Planctomycetacia,6.46,Surface_PA
Cyanobacteria,11.95,Surface_PA
Deferribacteres,0.02,Surface_PA
Chlamydiae,0.46,Surface_PA
Bacteria_unclassified,2.07,Surface_PA
Acidimicrobiia,2.03,CIL_FL
Actinobacteria,0.48,CIL_FL
Alphaproteobacteria,36.11,CIL_FL
Betaproteobacteria,1.36,CIL_FL
Gammaproteobacteria,25.98,CIL_FL
Deltaproteobacteria,2.62,CIL_FL
Cytophagia,0.55,CIL_FL
Flavobacteriia,17.41,CIL_FL
Sphingobacteriia,0.54,CIL_FL
Bacteroidetes_unclassified,0.37,CIL_FL
Opitutae,0.34,CIL_FL
Verrucomicrobiae,7.13,CIL_FL
OM190,0.2,CIL_FL
Phycisphaerae,0.69,CIL_FL
Planctomycetacia,1.62,CIL_FL
Cyanobacteria,0.31,CIL_FL
Deferribacteres,0.74,CIL_FL
Chlamydiae,0.05,CIL_FL
Bacteria_unclassified,0.23,CIL_FL
Acidimicrobiia,1.51,CIL_PA
Actinobacteria,0.73,CIL_PA
Alphaproteobacteria,7.6,CIL_PA
Betaproteobacteria,0.84,CIL_PA
Gammaproteobacteria,27.59,CIL_PA
Deltaproteobacteria,5.95,CIL_PA
Cytophagia,0.57,CIL_PA
Flavobacteriia,14.51,CIL_PA
Sphingobacteriia,0.81,CIL_PA
Bacteroidetes_unclassified,2.1,CIL_PA
Opitutae,0.39,CIL_PA
Verrucomicrobiae,9.67,CIL_PA
OM190,1.69,CIL_PA
Phycisphaerae,4.38,CIL_PA
Planctomycetacia,14.34,CIL_PA
Cyanobacteria,2.8,CIL_PA
Deferribacteres,0.03,CIL_PA
Chlamydiae,0.38,CIL_PA
Bacteria_unclassified,1.09,CIL_PA
