Class,Abundance ,Type
SAR202_clade,32.07,Surface_FL
SL56_marine_group,0,Surface_FL
JG30-KF-CM66,0.42,Surface_FL
Ardenticatenia,0,Surface_FL
Anaerolineae,0,Surface_FL
SPG12-401-411-B72,0,Surface_FL
SGST604,0,Surface_FL
Planctomycetes_unclassified,4.64,Surface_FL
BD7-11,0,Surface_FL
Spartobacteria,0,Surface_FL
SS1-B-03-39,0,Surface_FL
Verrucomicrobia_Incertae_Sedis,0,Surface_FL
Arctic97B.4_marine_group,11.39,Surface_FL
DEV055,0,Surface_FL
Verrucomicrobia_unclassified,8.02,Surface_FL
Acidobacteria,0,Surface_FL
Lentisphaeria,12.24,Surface_FL
Oligosphaeria,0,Surface_FL
Armatimonadetes_unclassified,0.84,Surface_FL
Candidate_division_BRC1_unclassified,2.53,Surface_FL
SAR202_clade,3.92,Surface_PA
SL56_marine_group,3.24,Surface_PA
JG30-KF-CM66,0,Surface_PA
Ardenticatenia,0.54,Surface_PA
Anaerolineae,5.41,Surface_PA
SPG12-401-411-B72,0,Surface_PA
SGST604,0,Surface_PA
Planctomycetes_unclassified,0,Surface_PA
BD7-11,0,Surface_PA
Spartobacteria,0,Surface_PA
SS1-B-03-39,8.92,Surface_PA
Verrucomicrobia_Incertae_Sedis,0,Surface_PA
Arctic97B.4_marine_group,1.22,Surface_PA
DEV055,2.7,Surface_PA
Verrucomicrobia_unclassified,0,Surface_PA
Acidobacteria,12.03,Surface_PA
Lentisphaeria,0,Surface_PA
Oligosphaeria,8.11,Surface_PA
Armatimonadetes_unclassified,10.68,Surface_PA
Candidate_division_BRC1_unclassified,8.65,Surface_PA
SAR202_clade,0,CIL_FL
SL56_marine_group,8.7,CIL_FL
JG30-KF-CM66,9.24,CIL_FL
Ardenticatenia,0,CIL_FL
Anaerolineae,2.72,CIL_FL
SPG12-401-411-B72,1.63,CIL_FL
SGST604,7.61,CIL_FL
Planctomycetes_unclassified,14.67,CIL_FL
BD7-11,0.54,CIL_FL
Spartobacteria,20.11,CIL_FL
SS1-B-03-39,7.07,CIL_FL
Verrucomicrobia_Incertae_Sedis,12.5,CIL_FL
Arctic97B.4_marine_group,0,CIL_FL
DEV055,0,CIL_FL
Verrucomicrobia_unclassified,0,CIL_FL
Acidobacteria,4.89,CIL_FL
Lentisphaeria,0,CIL_FL
Oligosphaeria,0,CIL_FL
Armatimonadetes_unclassified,0,CIL_FL
Candidate_division_BRC1_unclassified,0,CIL_FL
SAR202_clade,0,CIL_PA
SL56_marine_group,5.85,CIL_PA
JG30-KF-CM66,0,CIL_PA
Ardenticatenia,8.19,CIL_PA
Anaerolineae,0,CIL_PA
SPG12-401-411-B72,29.82,CIL_PA
SGST604,0,CIL_PA
Planctomycetes_unclassified,0,CIL_PA
BD7-11,11.7,CIL_PA
Spartobacteria,0,CIL_PA
SS1-B-03-39,0,CIL_PA
Verrucomicrobia_Incertae_Sedis,1.17,CIL_PA
Arctic97B.4_marine_group,0,CIL_PA
DEV055,5.26,CIL_PA
Verrucomicrobia_unclassified,0,CIL_PA
Acidobacteria,0,CIL_PA
Lentisphaeria,0,CIL_PA
Oligosphaeria,0,CIL_PA
Armatimonadetes_unclassified,0,CIL_PA
Candidate_division_BRC1_unclassified,0,CIL_PA
